"filename", "language", "PHP", "MS SQL", "JSON", "reStructuredText", "XML", "Markdown", "YAML", "comment", "blank", "total"
"c:\wamp64\www\excel_extract\127_0_0_1.sql", "MS SQL", 0, 376, 0, 0, 0, 0, 0, 95, 66, 537
"c:\wamp64\www\excel_extract\composer.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\wamp64\www\excel_extract\composer.lock", "JSON", 0, 0, 599, 0, 0, 0, 0, 0, 1, 600
"c:\wamp64\www\excel_extract\correspondaces.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\wamp64\www\excel_extract\index.php", "PHP", 177, 0, 0, 0, 0, 0, 0, 23, 45, 245
"c:\wamp64\www\excel_extract\test.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 2, 4, 25
"c:\wamp64\www\excel_extract\vendor\autoload.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\wamp64\www\excel_extract\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 0, 0, 0, 0, 235, 59, 580
"c:\wamp64\www\excel_extract\vendor\composer\InstalledVersions.php", "PHP", 188, 0, 0, 0, 0, 0, 0, 140, 51, 379
"c:\wamp64\www\excel_extract\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\wamp64\www\excel_extract\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\wamp64\www\excel_extract\vendor\composer\autoload_psr4.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\wamp64\www\excel_extract\vendor\composer\autoload_real.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 4, 10, 39
"c:\wamp64\www\excel_extract\vendor\composer\autoload_static.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 1, 8, 82
"c:\wamp64\www\excel_extract\vendor\composer\installed.json", "JSON", 0, 0, 613, 0, 0, 0, 0, 0, 1, 614
"c:\wamp64\www\excel_extract\vendor\composer\installed.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\wamp64\www\excel_extract\vendor\composer\pcre\README.md", "Markdown", 0, 0, 0, 0, 0, 138, 0, 0, 52, 190
"c:\wamp64\www\excel_extract\vendor\composer\pcre\composer.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\MatchAllResult.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 26, 7, 47
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\MatchAllStrictGroupsResult.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 26, 7, 47
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\MatchAllWithOffsetsResult.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 28, 7, 49
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\MatchResult.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 22, 6, 40
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\MatchStrictGroupsResult.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 22, 6, 40
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\MatchWithOffsetsResult.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 24, 6, 42
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\PHPStan\InvalidRegexPatternRule.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 8, 25, 143
"c:\wamp64\www\excel_extract\vendor\composer\pcre\src\PHPStan\PregMatchFlags.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 13, 71
